Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP16F628A -DL -O11111114 -fo4 -N"C:\Documents and Settings\Neville\My Documents\PROTEUS\10 Smart Traffic Light\01_Set_Traffic.mcppi" -SP"C:\Program Files\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Program Files\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"C:\Documents and Settings\Neville\My Documents\PROTEUS\10 Smart Traffic Light\" "01_Set_Traffic.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_EEPROM.mcl" "__Lib_PWM_b3.mcl" "__Lib_UART_b21.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl"	 
hint: 0	1138	Available RAM: 208 [bytes], Available ROM: 2048 [bytes]	 
diagnostics: 0	126	All files Preprocessed in 10 ms	 
diagnostics: 0	122	Compilation Started	01_Set_Traffic.c
diagnostics: 41	123	Compiled Successfully	01_Set_Traffic.c
diagnostics: 0	127	All files Compiled in 50 ms	 
hint: 0	1143	Used RAM (bytes): 5 (2%)  Free RAM (bytes): 203 (98%)	Used RAM (bytes): 5 (2%)  Free RAM (bytes): 203 (98%)
hint: 0	1143	Used ROM (program words): 114 (6%)  Free ROM (program words): 1934 (94%)	Used ROM (program words): 114 (6%)  Free ROM (program words): 1934 (94%)
diagnostics: 0	125	Project Linked Successfully	01_Set_Traffic.mcppi
diagnostics: 0	128	Linked in 170 ms	 
diagnostics: 0	129	Project '01_Set_Traffic.mcppi' completed: 381 ms	 
diagnostics: 0	103	Finished successfully: 06 Nov 2012, 08:53:20	01_Set_Traffic.mcppi
